순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
338,031390,녹십자셀,"47,050","550","1.2","552,841","26,242,935,600","47,500","49,200","46,000","569,829,607,500","0.03","12,111,150",,,
339,131970,테스나,"76,700","-5,700","-6.9","347,966","26,944,352,200","80,700","80,900","75,200","569,431,614,700","0.03","7,424,141",,,
340,024720,한국콜마홀딩스,"30,650","-1,250","-3.9","255,705","7,983,374,650","32,150","32,750","30,100","569,376,437,350","0.03","18,576,719",,,
341,011000,진원생명과학,"12,750","2,930","29.8","41,823,977","500,427,123,920","9,910","12,750","9,910","569,042,802,000","0.03","44,630,808",,,
342,068240,다원시스,"21,000","-700","-3.2","841,747","17,665,377,400","21,450","21,550","20,400","565,575,843,000","0.03","26,932,183",,,
343,066575,LG전자우,"32,500","-200","-0.6","149,254","4,871,331,000","32,800","33,400","32,050","558,544,740,000","0.03","17,185,992",,,
344,000070,삼양홀딩스,"65,200","-3,400","-5.0","47,837","3,142,655,600","68,000","68,500","64,600","558,390,469,200","0.03","8,564,271",,,
345,112040,위메이드,"33,000","-1,350","-3.9","222,324","7,182,552,650","34,000","34,700","31,350","554,400,000,000","0.03","16,800,000",,,
346,001120,LG상사,"14,300","-850","-5.6","524,382","7,665,890,650","15,150","15,200","14,300","554,268,000,000","0.03","38,760,000",,,
347,105630,한세실업,"13,750","-1,100","-7.4","525,789","7,343,666,400","14,500","14,600","13,500","550,000,000,000","0.03","40,000,000",,,
348,014820,동원시스템즈,"21,450","-1,000","-4.4","53,883","1,166,803,100","22,200","22,450","21,200","549,517,060,950","0.03","25,618,511",,,
349,001820,삼화콘덴서,"52,800","-3,400","-6.0","296,940","15,880,024,900","56,000","56,100","52,200","548,856,000,000","0.03","10,395,000",,,
350,003060,에이프로젠제약,"1,370","-50","-3.5","4,473,198","6,200,629,055","1,430","1,440","1,345","546,048,799,420","0.03","398,575,766",,,
351,267980,매일유업,"69,500","-3,800","-5.2","64,382","4,574,032,500","72,700","72,800","69,400","545,132,841,000","0.03","7,843,638",,,
352,253840,수젠텍,"39,650","1,200","3.1","5,854,617","227,811,081,850","40,350","41,600","35,450","541,823,038,900","0.03","13,665,146",,,
353,300720,한일시멘트,"78,200","-4,000","-4.9","7,149","569,120,500","82,400","82,400","78,100","541,625,242,800","0.03","6,926,154",,,
354,001880,대림건설,"24,500","-700","-2.8","183,381","4,413,282,950","25,200","25,200","23,000","540,305,458,000","0.03","22,053,284",,,
355,065660,안트로젠,"59,700","-800","-1.3","159,077","9,622,969,900","60,500","63,100","59,200","534,671,229,900","0.03","8,955,967",,,
356,222800,심텍,"16,750","-1,600","-8.7","1,587,165","26,896,313,450","18,150","18,350","16,300","533,556,895,250","0.03","31,854,143",,,
357,332570,와이팜,"14,300","-900","-5.9","691,664","10,198,657,400","15,100","15,600","14,150","531,121,390,800","0.03","37,141,356",,,
358,290510,코리아센터,"22,000","400","1.8","988,098","21,133,040,800","21,450","22,250","20,200","528,683,056,000","0.03","24,031,048",,,
359,008350,남선알미늄,"4,770","-230","-4.6","4,451,955","21,466,334,610","4,960","4,990","4,725","525,554,259,300","0.03","110,179,090",,,
360,005610,SPC삼립,"60,400","-2,700","-4.3","19,172","1,176,186,400","62,300","62,900","60,000","521,192,143,600","0.03","8,629,009",,,
361,097230,한진중공업,"6,250","-10","-0.2","230,072","1,438,755,770","6,500","6,600","5,980","520,464,256,250","0.03","83,274,281",,,
362,003540,대신증권,"10,200","-500","-4.7","228,866","2,364,556,450","10,700","10,700","10,150","517,888,680,000","0.03","50,773,400",,,
363,050890,쏠리드,"9,910","-440","-4.2","5,458,601","54,796,800,670","10,200","10,550","9,680","517,155,084,250","0.03","52,185,175",,,
364,002320,한진,"43,150","1,600","3.8","213,837","8,680,257,850","41,550","43,300","39,650","516,706,406,400","0.03","11,974,656",,,
365,263050,유틸렉스,"34,350","2,350","7.3","1,015,730","35,415,423,800","31,800","37,750","31,800","512,518,075,800","0.03","14,920,468",,,
366,048260,오스템임플란트,"35,800","-2,200","-5.8","425,045","15,353,410,150","37,950","37,950","35,200","511,428,668,600","0.03","14,285,717",,,
367,091700,파트론,"9,430","-670","-6.6","1,264,577","12,170,883,040","10,000","10,050","9,350","510,694,946,300","0.03","54,156,410",,,
368,042700,한미반도체,"9,910","-890","-8.2","1,162,790","11,692,846,960","10,800","10,800","9,840","510,379,874,910","0.03","51,501,501",,,
369,033290,코웰패션,"5,760","-180","-3.0","828,866","4,723,136,890","5,900","5,980","5,500","509,761,347,840","0.03","88,500,234",,,
370,353200,대덕전자,"10,300","-600","-5.5","1,868,416","19,656,257,200","11,000","11,250","10,150","508,994,327,500","0.03","49,416,925",,,
371,174900,앱클론,"35,350","750","2.2","529,825","18,802,671,500","34,900","36,550","34,400","508,757,200,000","0.03","14,392,000",,,
372,039130,하나투어,"36,450","-1,500","-4.0","238,344","8,764,261,900","37,950","37,950","36,300","508,083,293,250","0.03","13,939,185",,,
373,182400,엔케이맥스,"15,350","-900","-5.5","363,764","5,657,860,700","16,300","16,300","15,200","503,383,602,000","0.03","32,793,720",,,
374,003620,쌍용차,"3,350","215","6.9","15,483,590","56,349,300,350","3,660","3,970","3,210","501,964,006,700","0.03","149,840,002",,,
375,286940,롯데정보통신,"32,600","-1,650","-4.8","65,083","2,131,711,150","34,050","34,250","31,800","501,920,390,600","0.03","15,396,331",,,
376,032190,다우데이타,"13,050","-1,000","-7.1","551,502","7,255,407,050","13,950","14,000","12,800","499,815,000,000","0.03","38,300,000",,,
377,002350,넥센타이어,"5,110","-370","-6.8","586,991","3,064,178,430","5,420","5,460","5,100","499,082,851,470","0.03","97,667,877",,,
378,205470,휴마시스,"14,400","400","2.9","4,850,525","69,189,119,350","14,100","14,850","13,550","492,822,936,000","0.03","34,223,815",,,
379,078070,유비쿼스홀딩스,"26,200","-2,050","-7.3","307,224","8,139,738,400","28,000","28,100","25,750","489,851,653,600","0.03","18,696,628",,,
380,950160,코오롱티슈진,"8,010","0","0.0","0","0","0","0","0","489,551,575,500","0.03","61,117,550",,,
381,108670,LG하우시스,"54,300","-3,100","-5.4","81,563","4,490,552,700","56,700","56,800","54,200","486,944,481,000","0.03","8,967,670",,,
382,284620,카이노스메드,"4,675","45","1.0","6,494,865","31,785,796,525","4,610","5,130","4,580","486,282,668,025","0.03","104,017,683",,,
383,048530,인트론바이오,"15,400","-850","-5.2","803,561","12,657,295,250","15,950","16,550","15,250","485,045,453,200","0.03","31,496,458",,,
384,000400,롯데손해보험,"1,560","-110","-6.6","855,334","1,352,332,700","1,650","1,655","1,555","484,124,659,200","0.03","310,336,320",,,
385,206640,바디텍메드,"20,350","-800","-3.8","771,328","15,958,148,900","21,200","21,500","20,000","477,768,162,850","0.03","23,477,551",,,
386,015350,부산가스,"43,350","0","0.0","14,464","629,562,150","42,900","44,500","42,900","476,850,000,000","0.03","11,000,000",,,
387,082640,동양생명,"2,940","-120","-3.9","124,825","370,127,145","3,060","3,065","2,930","474,394,239,900","0.03","161,358,585",,,
388,007460,에이프로젠 KIC,"2,630","-40","-1.5","2,629,133","6,948,105,905","2,670","2,715","2,585","470,107,263,670","0.03","178,748,009",,,
389,002390,한독,"34,000","-1,600","-4.5","185,077","6,390,883,000","35,400","36,050","33,550","467,960,122,000","0.03","13,763,533",,,
390,060720,KH바텍,"19,600","-1,600","-7.6","940,646","18,713,569,400","21,050","21,150","19,350","463,294,686,400","0.03","23,637,484",,,
391,009290,광동제약,"8,770","-120","-1.4","491,814","4,326,663,360","8,890","9,120","8,500","459,730,863,270","0.02","52,420,851",,,
392,230360,에코마케팅,"28,250","-700","-2.4","547,693","15,852,615,200","30,400","30,900","27,800","457,619,970,250","0.02","16,198,937",,,
393,084650,랩지노믹스,"40,400","2,250","5.9","4,052,773","161,072,255,500","39,250","42,200","36,250","453,201,544,000","0.02","11,217,860",,,
394,121600,나노신소재,"41,750","-2,000","-4.6","808,227","33,866,127,800","43,150","43,900","40,700","452,917,902,750","0.02","10,848,333",,,
395,006390,한일현대시멘트,"26,900","-2,050","-7.1","70,859","1,948,931,600","28,600","28,950","26,800","452,492,701,000","0.02","16,821,290",,,
396,298060,에스씨엠생명과학,"38,300","1,550","4.2","778,756","30,028,435,100","36,800","39,950","36,750","451,170,093,400","0.02","11,779,898",,,
397,057500,SKC 솔믹스,"7,330","10","0.1","1,056,435","7,744,352,370","7,330","7,340","7,320","450,751,313,200","0.02","61,494,040",,,
398,000140,하이트진로홀딩스,"19,250","-650","-3.3","37,950","742,455,500","19,950","20,500","19,000","446,730,226,250","0.02","23,206,765",,,
399,222080,씨아이에스,"7,910","-440","-5.3","6,492,062","52,616,138,110","8,220","8,570","7,820","445,582,845,260","0.02","56,331,586",,,
400,059090,미코,"14,200","-1,000","-6.6","3,262,730","47,913,818,250","15,400","15,900","13,900","444,695,762,600","0.02","31,316,603",,,
401,036830,솔브레인홀딩스,"46,150","-2,600","-5.3","426,422","20,299,040,800","49,050","50,000","45,800","443,949,385,750","0.02","9,619,705",,,
402,263720,디앤씨미디어,"36,150","850","2.4","388,250","14,183,767,450","36,400","38,500","35,100","443,745,262,650","0.02","12,275,111",,,
403,036420,제이콘텐트리,"27,000","-1,350","-4.8","143,488","3,936,333,700","28,350","28,350","26,900","442,396,917,000","0.02","16,385,071",,,
404,298020,효성티앤씨,"101,500","-6,500","-6.0","22,977","2,370,370,000","108,000","108,000","101,000","439,259,723,000","0.02","4,327,682",,,
405,009970,영원무역홀딩스,"32,050","-2,200","-6.4","15,086","495,218,350","34,250","34,250","32,050","437,020,723,600","0.02","13,635,592",,,
406,036810,에프에스티,"21,550","-1,650","-7.1","585,890","12,883,051,200","23,000","23,000","21,200","436,038,691,700","0.02","20,233,814",,,
407,267270,현대건설기계,"22,100","-1,150","-5.0","186,126","4,165,865,700","23,300","23,450","21,850","435,387,525,300","0.02","19,700,793",,,
408,003800,에이스침대,"39,250","-1,550","-3.8","2,925","116,449,900","41,000","41,000","39,000","435,282,500,000","0.02","11,090,000",,,
409,030610,교보증권,"6,700","-280","-4.0","152,717","1,031,781,380","6,980","6,980","6,670","433,177,083,200","0.02","64,653,296",,,
410,215000,골프존,"69,000","-1,900","-2.7","42,424","2,931,496,200","70,100","70,100","68,500","433,003,635,000","0.02","6,275,415",,,
411,025540,한국단자,"41,500","-3,150","-7.0","147,308","6,244,462,100","44,850","44,850","41,150","432,222,500,000","0.02","10,415,000",,,
412,023890,한국아트라스비엑스,"47,000","-1,600","-3.3","3,059","144,389,000","48,600","48,600","46,750","430,050,000,000","0.02","9,150,000",,,
413,034830,한국토지신탁,"1,690","-45","-2.6","968,305","1,635,303,905","1,735","1,735","1,670","426,706,798,700","0.02","252,489,230",,,
414,126560,현대에이치씨엔,"3,775","-165","-4.2","463,881","1,751,234,875","3,915","4,000","3,680","426,109,149,900","0.02","112,876,596",,,
415,001720,신영증권,"45,300","-1,350","-2.9","6,065","276,994,350","47,200","47,200","44,800","425,196,536,100","0.02","9,386,237",,,
416,045390,대아티아이,"5,970","-260","-4.2","3,253,457","19,708,719,670","6,210","6,380","5,890","424,774,586,340","0.02","71,151,522",,,
417,053210,스카이라이프,"8,880","-430","-4.6","194,561","1,737,815,100","9,220","9,300","8,740","424,659,058,080","0.02","47,821,966",,,
418,145720,덴티움,"38,350","-2,950","-7.1","73,671","2,882,143,700","41,000","41,000","38,200","424,489,630,500","0.02","11,068,830",,,
419,272290,이녹스첨단소재,"44,500","-2,500","-5.3","101,478","4,580,058,950","46,800","46,800","44,200","422,860,938,500","0.02","9,502,493",,,
420,268280,미원에스씨,"82,900","-900","-1.1","3,492","286,727,000","83,700","84,000","81,500","422,790,000,000","0.02","5,100,000",,,
421,131290,티에스이,"38,200","-2,350","-5.8","104,594","4,053,741,850","40,850","41,300","37,000","422,546,587,800","0.02","11,061,429",,,
422,029960,코엔텍,"8,450","-360","-4.1","593,581","5,067,711,340","8,780","8,800","8,420","422,500,000,000","0.02","50,000,000",,,
423,078160,메디포스트,"27,050","400","1.5","335,418","9,120,073,500","26,650","27,650","26,400","422,462,626,100","0.02","15,617,842",,,
424,003220,대원제약,"20,850","650","3.2","1,104,029","22,840,989,850","20,350","21,350","19,800","422,079,122,550","0.02","20,243,603",,,
425,095610,테스,"21,300","-1,800","-7.8","565,136","12,276,178,600","22,800","22,900","21,250","421,063,213,800","0.02","19,768,226",,,
426,002840,미원상사,"84,600","-2,600","-3.0","10,891","920,000,800","86,200","86,700","82,700","420,462,000,000","0.02","4,970,000",,,
427,319660,피에스케이,"28,000","-3,300","-10.5","557,548","16,197,649,000","31,200","31,200","27,900","413,420,560,000","0.02","14,765,020",,,
428,000815,삼성화재우,"128,500","-4,500","-3.4","22,200","2,860,458,000","133,000","133,000","127,000","410,172,000,000","0.02","3,192,000",,,
429,014830,유니드,"46,000","-3,050","-6.2","71,681","3,349,622,900","49,050","49,050","45,600","408,932,778,000","0.02","8,889,843",,,
430,039840,디오,"26,150","-1,800","-6.4","144,088","3,841,094,950","27,550","27,750","26,050","405,942,192,300","0.02","15,523,602",,,
431,005070,코스모신소재,"13,850","-950","-6.4","1,118,170","15,779,246,050","14,700","15,000","13,700","405,084,315,250","0.02","29,247,965",,,
432,166090,하나머티리얼즈,"20,550","-1,450","-6.6","384,241","8,025,652,400","21,650","22,250","20,300","403,348,700,700","0.02","19,627,674",,,
433,053580,웹케시,"59,600","-1,200","-2.0","77,327","4,585,960,400","60,800","60,800","58,800","403,113,838,000","0.02","6,763,655",,,
434,214870,뉴지랩,"13,800","750","5.8","4,172,159","57,282,925,100","13,100","14,400","12,950","401,179,910,400","0.02","29,071,008",,,
435,039560,다산네트웍스,"11,950","-750","-5.9","2,085,468","25,019,519,250","12,400","12,850","11,550","401,165,061,100","0.02","33,570,298",,,
436,019175,신풍제약우,"182,000","-1,500","-0.8","454,471","84,356,889,000","183,500","197,000","177,000","400,400,000,000","0.02","2,200,000",,,
437,200230,텔콘RF제약,"4,685","-240","-4.9","2,217,911","10,644,413,095","4,925","5,030","4,660","399,993,034,670","0.02","85,377,382",,,
438,005500,삼진제약,"28,700","-250","-0.9","123,307","3,571,801,550","29,000","30,000","28,150","398,930,000,000","0.02","13,900,000",,,
439,006405,삼성SDI우,"246,500","-14,500","-5.6","58,360","14,625,978,000","259,500","263,500","245,000","398,811,364,000","0.02","1,617,896",,,
440,123890,한국자산신탁,"3,215","-115","-3.4","752,281","2,417,157,050","3,325","3,325","3,160","398,588,472,680","0.02","123,977,752",,,
441,229500,노브메타파마,"44,300","-3,050","-6.4","12,579","570,170,400","48,000","48,750","43,700","397,055,008,100","0.02","8,962,867",,,
442,027410,BGF,"4,140","-170","-3.9","226,375","949,334,855","4,295","4,330","4,135","396,267,514,740","0.02","95,716,791",,,
443,048410,현대바이오,"11,000","-650","-5.6","834,792","9,413,214,400","11,550","11,800","11,000","395,074,647,000","0.02","35,915,877",,,
444,030520,한글과컴퓨터,"16,150","-800","-4.7","610,116","9,959,586,900","17,050","17,200","15,900","394,711,151,850","0.02","24,440,319",,,
445,314130,지놈앤컴퍼니,"40,000","0","0.0","3,204","127,695,350","40,000","40,100","39,500","392,910,920,000","0.02","9,822,773",,,
446,052260,SK바이오랜드,"26,050","-1,650","-6.0","726,333","19,223,275,400","27,600","28,050","25,700","390,750,000,000","0.02","15,000,000",,,
447,004720,우리들제약,"26,350","6,050","29.8","3,683,615","96,789,193,150","26,350","26,350","25,500","387,685,784,550","0.02","14,712,933",,,
448,004490,세방전지,"27,650","-2,100","-7.1","76,145","2,159,199,150","29,750","29,750","27,500","387,100,000,000","0.02","14,000,000",,,
449,046440,KG모빌리언스,"9,970","-530","-5.0","690,208","6,931,272,070","10,500","10,500","9,800","387,090,912,960","0.02","38,825,568",,,
450,138250,엔에스쇼핑,"11,450","-50","-0.4","74,119","834,151,900","11,450","11,500","11,000","385,819,200,000","0.02","33,696,000",,,
451,025860,남해화학,"7,760","-490","-5.9","463,859","3,658,941,940","8,180","8,180","7,750","385,507,821,680","0.02","49,678,843",,,
452,199800,툴젠,"58,600","-200","-0.3","7,918","461,062,700","59,000","59,700","57,000","385,198,251,400","0.02","6,573,349",,,
453,005880,대한해운,"15,750","-450","-2.8","130,928","2,058,928,850","16,250","16,250","15,500","384,726,966,750","0.02","24,427,109",,,
454,071320,지역난방공사,"33,200","-1,100","-3.2","12,920","433,188,000","34,300","34,700","33,050","384,414,300,800","0.02","11,578,744",,,
455,008730,율촌화학,"15,500","-650","-4.0","171,077","2,653,585,450","16,000","16,050","15,200","384,400,000,000","0.02","24,800,000",,,
456,298040,효성중공업,"41,200","0","0.0","350,080","14,502,707,300","41,450","43,050","39,150","384,171,377,600","0.02","9,324,548",,,
457,137400,피엔티,"17,650","-600","-3.3","1,895,929","34,196,168,500","18,000","18,900","17,400","383,277,939,600","0.02","21,715,464",,,
458,153710,옵티팜,"26,650","800","3.1","424,388","11,129,851,050","26,050","26,650","25,050","383,167,250,700","0.02","14,377,758",,,
459,293480,하나제약,"23,600","-650","-2.7","249,539","5,969,298,300","24,500","24,800","23,400","382,320,000,000","0.02","16,200,000",,,
460,192440,슈피겐코리아,"61,500","-2,400","-3.8","104,906","6,579,004,800","64,800","65,900","60,900","382,306,324,500","0.02","6,216,363",,,
461,012790,신일제약,"34,950","8,050","29.9","11,683,259","368,467,021,650","27,550","34,950","27,050","381,024,900,000","0.02","10,902,000",,,
462,281820,케이씨텍,"19,200","-1,500","-7.2","171,667","3,379,791,700","20,550","20,650","19,100","380,915,328,000","0.02","19,839,340",,,
463,034950,한국기업평가,"83,800","-2,200","-2.6","18,903","1,586,548,900","85,900","86,000","82,000","380,495,073,200","0.02","4,540,514",,,
464,061970,엘비세미콘,"8,650","-730","-7.8","2,928,114","25,840,299,970","9,290","9,300","8,520","378,736,720,800","0.02","43,784,592",,,
465,249420,일동제약,"15,900","-500","-3.0","796,101","13,533,515,700","16,400","17,900","15,750","378,472,231,500","0.02","23,803,285",,,
466,122990,와이솔,"13,400","-900","-6.3","764,706","10,387,484,350","14,300","14,450","13,150","377,504,009,400","0.02","28,171,941",,,
467,267260,현대일렉트릭,"10,450","-700","-6.3","538,697","5,741,635,800","10,950","11,300","10,350","376,692,560,750","0.02","36,047,135",,,
468,011040,경동제약,"14,100","1,150","8.9","4,766,001","66,982,237,900","12,850","15,150","12,350","374,355,000,000","0.02","26,550,000",,,
469,017890,한국알콜,"17,300","550","3.3","11,866,695","212,652,381,150","16,850","18,550","16,750","373,779,648,000","0.02","21,605,760",,,
470,097780,에스맥,"1,430","-45","-3.0","28,821,757","42,290,946,950","1,515","1,535","1,410","373,438,210,860","0.02","261,145,602",,,
471,093050,LF,"12,750","-550","-4.1","200,176","2,570,773,750","13,300","13,350","12,700","372,810,000,000","0.02","29,240,000",,,
472,089590,제주항공,"14,100","-350","-2.4","123,779","1,750,952,150","14,500","14,650","13,900","371,630,287,800","0.02","26,356,758",,,
473,003530,한화투자증권,"1,730","-75","-4.2","1,072,364","1,868,229,595","1,785","1,800","1,710","371,167,650,750","0.02","214,547,775",,,
474,072710,농심홀딩스,"80,000","-1,300","-1.6","8,868","721,725,500","81,600","83,300","79,900","371,023,200,000","0.02","4,637,790",,,
475,140860,파크시스템스,"55,600","-2,100","-3.6","53,630","3,019,562,000","58,000","58,400","55,000","370,743,858,000","0.02","6,668,055",,,
476,950190,미투젠,"28,750","-600","-2.0","1,662,884","49,230,927,150","29,550","31,200","28,050","370,575,770,000","0.02","12,889,592",,,
477,216080,제테마,"21,150","-1,200","-5.4","190,526","4,095,253,050","22,400","22,550","21,000","370,073,224,800","0.02","17,497,552",,,
478,006730,서부T&D,"6,360","-360","-5.4","352,852","2,265,934,950","6,700","6,710","6,250","369,773,223,840","0.02","58,140,444",,,
479,084690,대상홀딩스,"10,200","-700","-6.4","1,185,221","12,235,559,160","10,800","10,850","9,950","369,367,887,600","0.02","36,212,538",,,
480,099190,아이센스,"26,850","-400","-1.5","106,721","2,856,707,950","27,500","27,500","26,000","368,844,840,300","0.02","13,737,238",,,
481,010050,우리종금,"547","-22","-3.9","3,348,696","1,852,248,201","568","571","541","368,789,263,082","0.02","674,203,406",,,
482,100090,삼강엠앤티,"10,800","-150","-1.4","2,048,120","21,595,477,800","11,000","11,000","10,050","366,047,391,600","0.02","33,893,277",,,
483,084110,휴온스글로벌,"31,900","-2,000","-5.9","72,897","2,360,066,750","33,900","33,900","31,750","365,705,651,300","0.02","11,464,127",,,
484,002620,제일파마홀딩스,"22,800","-1,000","-4.2","75,209","1,778,077,800","24,250","24,650","22,350","364,192,494,000","0.02","15,973,355",,,
485,038290,마크로젠,"34,200","-650","-1.9","288,896","9,845,135,950","35,350","35,700","33,100","362,918,566,800","0.02","10,611,654",,,
486,025320,시노펙스,"5,000","-330","-6.2","11,028,548","56,100,332,260","5,200","5,330","4,875","362,805,640,000","0.02","72,561,128",,,
487,166480,코아스템,"23,000","2,200","10.6","1,388,568","31,850,325,850","24,550","25,200","21,200","361,501,120,000","0.02","15,717,440",,,
488,194700,노바렉스,"40,150","-1,000","-2.4","137,005","5,490,108,150","41,150","41,150","39,300","361,500,161,000","0.02","9,003,740",,,
489,215200,메가스터디교육,"30,400","-1,950","-6.0","166,779","5,140,316,200","32,100","32,100","30,150","359,385,152,000","0.02","11,821,880",,,
490,119860,다나와,"27,400","-1,400","-4.9","141,960","3,922,880,200","28,450","28,750","27,050","358,250,122,800","0.02","13,074,822",,,
491,060150,인선이엔티,"9,330","-390","-4.0","1,997,613","19,188,054,510","9,820","10,100","9,200","358,190,661,060","0.02","38,391,282",,,
492,089030,테크윙,"18,500","-1,250","-6.3","549,867","10,229,214,800","19,550","19,550","18,100","357,397,541,000","0.02","19,318,786",,,
493,094800,맵스리얼티1,"3,840","-40","-1.0","180,704","690,990,920","3,905","3,905","3,785","356,483,831,040","0.02","92,834,331",,,
494,006060,화승인더,"6,400","-390","-5.7","592,635","3,903,867,170","6,720","6,820","6,390","354,048,000,000","0.02","55,320,000",,,
495,074600,원익QnC,"13,450","-1,450","-9.7","1,697,111","23,427,785,550","14,800","14,800","13,300","353,573,600,000","0.02","26,288,000",,,
496,038500,삼표시멘트,"3,285","-170","-4.9","869,616","2,901,703,800","3,410","3,455","3,260","352,668,313,305","0.02","107,357,173",,,
497,230240,에치에프알,"29,400","-2,500","-7.8","461,538","13,856,016,650","31,850","31,900","29,100","352,271,388,000","0.02","11,982,020",,,
498,001510,SK증권,"745","-50","-6.3","10,085,253","7,645,854,359","783","795","741","352,079,677,395","0.02","472,590,171",,,
499,100130,동국S&C,"6,110","-410","-6.3","1,984,652","12,303,172,600","6,520","6,520","6,000","349,143,730,000","0.02","57,143,000",,,
500,082920,비츠로셀,"16,100","-1,500","-8.5","321,583","5,305,896,500","17,450","17,550","16,000","346,780,347,200","0.02","21,539,152",,,
501,214610,미코바이오메드,"24,500","-550","-2.2","15,210","377,950,350","25,050","25,100","24,500","346,659,712,000","0.02","14,149,376",,,
502,143160,아이디스,"32,200","-1,250","-3.7","201,151","6,347,015,050","33,050","33,600","30,700","345,067,758,000","0.02","10,716,390",,,
503,109820,진매트릭스,"17,350","1,100","6.8","4,779,366","82,869,474,550","16,450","18,200","16,250","344,831,874,600","0.02","19,875,036",,,
504,002270,롯데푸드,"304,000","-17,000","-5.3","5,362","1,661,222,500","321,500","321,500","302,000","344,088,480,000","0.02","1,131,870",,,
505,001430,세아베스틸,"9,580","-670","-6.5","383,079","3,746,332,300","10,150","10,200","9,550","343,559,100,020","0.02","35,862,119",,,
506,299660,셀리드,"35,500","3,650","11.5","423,762","14,184,025,100","32,050","35,500","31,350","342,528,566,000","0.02","9,648,692",,,
507,102940,코오롱생명과학,"30,000","-700","-2.3","98,544","2,983,311,500","30,750","31,300","29,750","342,370,680,000","0.02","11,412,356",,,
508,216050,인크로스,"42,400","-2,450","-5.5","191,658","8,259,992,700","44,500","45,100","41,250","341,607,344,800","0.02","8,056,777",,,
509,017960,한국카본,"7,740","-660","-7.9","1,887,356","14,928,753,090","8,380","8,390","7,700","340,256,259,180","0.02","43,960,757",,,
510,017390,서울가스,"68,000","500","0.7","532","35,939,100","66,600","69,400","66,600","340,000,000,000","0.02","5,000,000",,,
511,293940,신한알파리츠,"6,480","-70","-1.1","99,363","644,290,260","6,570","6,570","6,420","339,099,197,040","0.02","52,330,123",,,
512,096760,JW홀딩스,"5,100","-70","-1.4","243,810","1,250,249,840","5,110","5,310","5,020","338,905,990,500","0.02","66,452,155",,,
513,228760,지노믹트리,"16,900","500","3.0","479,100","8,118,464,600","16,300","17,800","16,100","337,767,033,500","0.02","19,986,215",,,
514,200710,에이디테크놀로지,"26,850","-1,850","-6.4","570,074","15,559,841,900","28,150","28,650","26,600","334,800,731,850","0.02","12,469,301",,,
515,088260,이리츠코크렙,"5,270","-30","-0.6","60,184","316,376,510","5,300","5,330","5,190","333,810,179,300","0.02","63,341,590",,,
516,100120,뷰웍스,"33,300","-1,650","-4.7","115,019","3,875,879,650","34,900","35,100","33,050","333,062,104,500","0.02","10,001,865",,,
517,001200,유진투자증권,"3,425","-185","-5.1","1,158,963","4,003,598,285","3,530","3,590","3,375","331,767,481,650","0.02","96,866,418",,,
518,183300,코미코,"36,750","-800","-2.1","118,019","4,308,961,450","37,300","38,150","35,100","331,501,647,750","0.02","9,020,453",,,
519,002210,동성제약,"12,650","450","3.7","758,152","9,601,670,700","12,200","13,250","12,100","330,177,270,500","0.02","26,100,970",,,
520,030530,원익홀딩스,"4,265","-325","-7.1","781,396","3,404,064,665","4,580","4,585","4,260","329,419,988,965","0.02","77,237,981",,,
521,038540,상상인,"5,950","-350","-5.6","535,218","3,256,184,890","6,220","6,300","5,950","329,203,462,350","0.02","55,328,313",,,
522,073490,이노와이어리스,"48,850","-3,250","-6.2","228,164","11,335,060,050","52,100","52,300","48,400","329,129,024,400","0.02","6,737,544",,,
523,043150,바텍,"22,100","-800","-3.5","125,308","2,762,284,500","23,250","23,250","21,500","328,279,057,600","0.02","14,854,256",,,
524,084680,이월드,"3,175","-230","-6.8","971,767","3,133,178,370","3,350","3,395","3,130","327,469,172,975","0.02","103,139,897",,,
525,019680,대교,"3,860","-95","-2.4","255,895","1,010,571,795","3,950","4,095","3,855","326,953,001,000","0.02","84,702,850",,,
526,045660,에이텍,"39,400","-1,100","-2.7","1,116,038","44,772,463,400","40,000","41,500","38,850","325,444,000,000","0.02","8,260,000",,,
527,226950,올릭스,"49,450","-2,850","-5.4","162,593","8,102,286,300","52,000","52,900","48,600","324,833,143,450","0.02","6,568,921",,,
528,004700,조광피혁,"48,850","-2,550","-5.0","3,930","196,514,200","52,300","52,500","48,850","324,810,391,300","0.02","6,649,138",,,
529,016800,퍼시스,"28,150","50","0.2","6,650","187,100,250","28,150","28,500","28,100","323,725,000,000","0.02","11,500,000",,,
530,044340,위닉스,"18,100","-950","-5.0","288,412","5,279,240,000","19,000","19,100","17,950","323,508,992,500","0.02","17,873,425",,,
531,000370,한화손해보험,"2,760","-90","-3.2","755,202","2,072,395,580","2,840","2,840","2,685","322,199,405,400","0.02","116,738,915",,,
532,009680,모토닉,"9,750","-750","-7.1","406,773","4,028,774,780","10,250","10,250","9,600","321,750,000,000","0.02","33,000,000",,,
533,066700,테라젠이텍스,"9,960","-40","-0.4","904,802","9,159,818,690","10,100","10,550","9,930","320,368,848,120","0.02","32,165,547",,,
534,003070,코오롱글로벌,"12,700","-850","-6.3","294,127","3,804,394,550","13,450","13,450","12,500","320,172,562,600","0.02","25,210,438",,,
535,321550,티움바이오,"13,600","-750","-5.2","268,522","3,707,039,950","14,500","14,500","13,500","319,216,833,600","0.02","23,471,826",,,
