순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
282,092040,아미코젠,"35,450","-2,050","-5.5","509,159","18,091,795,950","37,250","37,250","34,650","680,888,504,500","0.04","19,207,010",,,
283,294140,레몬,"19,700","2,000","11.3","17,853,787","346,713,669,650","18,000","20,800","17,850","679,650,000,000","0.04","34,500,000",,,
284,089980,상아프론테크,"42,800","-2,200","-4.9","551,524","24,194,188,800","45,200","46,200","42,100","673,019,942,000","0.04","15,724,765",,,
285,008490,서흥,"57,900","-1,300","-2.2","78,232","4,573,761,700","59,000","60,300","57,000","669,851,642,700","0.04","11,569,113",,,
286,090460,비에이치,"19,950","-1,050","-5.0","885,322","17,726,317,750","20,900","20,950","19,650","667,780,125,600","0.04","33,472,688",,,
287,049770,동원F&B,"172,500","-8,000","-4.4","13,307","2,324,195,500","180,000","181,000","171,500","665,698,890,000","0.04","3,859,124",,,
288,033640,네패스,"28,800","-1,900","-6.2","749,297","21,889,223,950","30,600","30,600","28,700","664,105,017,600","0.04","23,059,202",,,
289,078600,대주전자재료,"44,150","-2,850","-6.1","656,507","29,592,754,100","46,800","47,500","43,750","662,955,296,250","0.04","15,015,975",,,
290,078130,국일제지,"5,230","-90","-1.7","5,525,834","29,942,809,670","5,410","5,660","5,220","660,802,048,320","0.04","126,348,384",,,
291,085620,미래에셋생명,"3,720","-270","-6.8","577,870","2,201,930,440","4,020","4,025","3,705","658,500,223,080","0.04","177,016,189",,,
292,192400,쿠쿠홀딩스,"92,400","-3,300","-3.4","10,892","1,021,747,700","97,700","97,700","92,100","657,189,178,800","0.04","7,112,437",,,
293,241590,화승엔터프라이즈,"10,800","-850","-7.3","433,212","4,779,214,550","11,550","11,600","10,800","653,796,036,000","0.04","60,536,670",,,
294,280360,롯데제과,"101,500","-4,500","-4.2","25,119","2,565,387,500","106,000","106,000","100,000","651,296,775,500","0.04","6,416,717",,,
295,214370,케어젠,"60,600","-2,600","-4.1","28,311","1,736,603,700","62,200","63,300","60,300","651,025,800,000","0.04","10,743,000",,,
296,067160,아프리카TV,"56,600","-2,500","-4.2","193,299","10,920,335,000","58,800","58,900","55,200","650,603,812,200","0.04","11,494,767",,,
297,033660,아주캐피탈,"11,300","-100","-0.9","46,534","528,435,300","11,400","11,700","11,200","650,268,557,000","0.04","57,545,890",,,
298,042000,카페24,"68,900","-3,000","-4.2","561,689","38,512,082,800","70,800","70,900","66,500","649,768,133,300","0.04","9,430,597",,,
299,210980,SK디앤디,"34,150","-2,100","-5.8","189,091","6,571,983,150","36,250","36,250","34,050","648,514,100,600","0.04","18,990,164",,,
300,084370,유진테크,"28,250","-3,200","-10.2","660,549","19,153,266,050","30,950","30,950","27,800","647,378,186,500","0.03","22,916,042",,,
301,090435,아모레퍼시픽우,"61,100","-2,700","-4.2","93,756","5,769,157,000","63,600","63,700","60,200","645,083,413,000","0.03","10,557,830",,,
302,103140,풍산,"22,800","-1,350","-5.6","439,860","10,427,296,450","24,050","24,800","22,750","638,953,538,400","0.03","28,024,278",,,
303,083790,크리스탈,"15,000","750","5.3","984,202","14,251,753,500","14,200","15,000","14,050","638,569,290,000","0.03","42,571,286",,,
304,000020,동화약품,"22,850","-50","-0.2","1,948,787","45,393,231,850","23,600","24,200","22,450","638,234,089,500","0.03","27,931,470",,,
305,243070,휴온스,"64,400","-2,500","-3.7","309,267","19,777,218,900","66,500","66,700","62,000","636,319,913,600","0.03","9,880,744",,,
306,069260,휴켐스,"15,550","-600","-3.7","252,315","3,977,021,400","16,100","16,250","15,500","635,662,043,400","0.03","40,878,588",,,
307,053030,바이넥스,"20,000","-400","-2.0","1,283,031","25,859,721,450","20,350","20,800","19,500","634,820,960,000","0.03","31,741,048",,,
